鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
南屯區,房地(土地+建物)+車位,臺中市南屯區大墩四街1~30號,30.29,住,,,1080603,土地1建物2車位1,九層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961225,299.31,3,2,2,有,有,20010000,66854,坡道平面,0.0,1150000,,RPTNMLPKQHOFFCB68CA
南屯區,房地(土地+建物)+車位,臺中市南屯區大墩四街1~30號,30.29,住,,,1080412,土地1建物2車位1,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961225,316.75,3,2,2,有,有,21000000,66298,坡道平面,0.0,1750000,,RPWNMLPKQHOFFCB98CA
南屯區,房地(土地+建物)+車位,臺中市南屯區大墩四街1~30號,34.77,住,,,1080526,土地1建物2車位2,十層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961225,345.31,3,2,2,有,有,20510000,59398,坡道平面,0.0,2650000,,RPOOMLPKQHOFFCB28CA
西屯區,房地(土地+建物)+車位,臺中市西屯區上明三街1~30號,16.29,住,,,1080714,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850119,137.55,3,2,2,有,有,7800000,56707,升降機械,0.0,0,,RPVQMLPKQHOFFCB56CA
西屯區,房地(土地+建物)+車位,臺中市西屯區上安里20鄰至善路61~90號,13.58,住,,,1080717,土地2建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940602,157.89000000000001,3,2,2,有,有,11700000,74102,坡道平面,23.18,0,,RPPOMLMKQHOFFCB08CA
西屯區,房地(土地+建物),臺中市西屯區國安一路121~150號,7.65,住,,,1080516,土地1建物1車位0,七層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991119,70.78,2,2,1,有,有,6000000,84770,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPRMLRJQHOFFCB78CA
西屯區,房地(土地+建物)+車位,臺中市西屯區國安一路211~240號,11.87,住,,,1080709,土地1建物1車位1,十七層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031113,135.42000000000002,2,1,3,有,無,8880000,65574,坡道平面,0.0,0,,RPTOMLSJQHOFFCB98CA
南屯區,房地(土地+建物)+車位,臺中市南屯區大墩六街211~240號,12.36,住,,,1080619,土地1建物1車位1,二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820112,79.08,2,1,1,有,有,3650000,46156,坡道機械,0.0,0,,RPSNMLSJQHOFFCB78CA
北屯區,房地(土地+建物)+車位,臺中市北屯區松竹路二段361~390號,16.11,住,,,1080515,土地1建物2車位1,十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831210,144.01,3,2,2,有,有,7150000,49649,坡道平面,0.0,0,,RPWPMLNJRHOFFBB88CA
北區,房地(土地+建物),臺中市北區綏遠路一段1~30號,12.57,住,,,1080702,土地2建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880713,97.75999999999999,3,2,2,有,有,5680000,58101,,0.0,0,含增建或未登記建物。;,RPUOMLTJQHOFFBB09CA
北屯區,房地(土地+建物)+車位,臺中市北屯區崇德路二段451~480號,21.09,住,,,1080623,土地1建物1車位1,十二層,二十層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0931110,225.78000000000003,4,2,2,有,有,14080000,62362,坡道平面,32.69,0,登記人與簽約人不同,RPPQMLMKQHOFFBB18CA
