鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
中壢區,房地(土地+建物)+車位,桃園市中壢區慈惠三街61~90號,21.25,住,,,1070515,土地8建物1車位1,七層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080425,79.92,2,1,1,有,無,8150000,106016,坡道平面,21.91,2000000,,RPWPMLKLQHOFFBH66CA
中壢區,房地(土地+建物),桃園市中壢區龍岡路三段243巷53弄11衖1~30號,27.2,住,,,1080623,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830314,84.74,3,2,1,有,無,5000000,59004,,0.0,0,,RPVPMLQLQHOFFBH17CA
中壢區,房地(土地+建物)+車位,桃園市中壢區長春五路61~90號,26.2,住,,,1080717,土地2建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980820,169.88,3,2,2,有,有,8500000,50035,坡道平面,0.0,0,,RPOUMLTLQHOFFBH27CA
龍潭區,土地,林坡段931~960地號,17.83,其他,,,1080725,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,113000,6338,,0.0,0,,RPPNMLNJQHOFFCH58CA
龍潭區,土地,林坡段931~960地號,21.54,其他,,,1080725,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,136000,6314,,0.0,0,,RPQNMLNJQHOFFCH68CA
龍潭區,土地,林坡段931~960地號,17.36,其他,,,1080725,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,110000,6336,,0.0,0,,RPRNMLNJQHOFFCH78CA
龍潭區,土地,林坡段931~960地號,56.06,其他,,,1080725,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,351750,6275,,0.0,0,,RPSNMLNJQHOFFCH88CA
龍潭區,土地,林坡段931~960地號,112.06,其他,,,1080725,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,717150,6400,,0.0,0,,RPTNMLNJQHOFFCH98CA
龍潭區,土地,龍源段1141~1170地號,1334.0,,山坡地保育區,農牧用地,1080716,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3636000,2726,,0.0,0,,RPPNMLOJQHOFFCH68CA
龍潭區,房地(土地+建物),桃園市龍潭區聖亭路八德段35巷1~30號,94.49,,鄉村區,乙種建築用地,1080611,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0700202,106.2,5,2,2,有,無,3920000,36911,,0.0,0,一樓空地及陽台增建。,RPTNMLMJQHOFFCH88CA
大溪區,土地,大鶯段541~570地號,210.0,,鄉村區,乙種建築用地,1080723,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5373000,25586,,0.0,0,,RPTNMLPJQHOFFCH56CA
大溪區,土地,大鶯段541~570地號,57.0,,鄉村區,乙種建築用地,1080723,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1293000,22684,,0.0,0,,RPVNMLPJQHOFFCH76CA
龍潭區,房地(土地+建物),桃園市龍潭區天龍3巷1~30號,20.32,,鄉村區,乙種建築用地,1080611,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830623,69.71000000000001,3,2,2,有,有,2350000,33711,,0.0,0,,RPPNMLSJQHOFFCH09CA
大溪區,房地(土地+建物)+車位,桃園市大溪區中華路127巷23弄31~60號,90.25,農,,,1080702,土地1建物1車位1,全,三層,透天厝,見其他登記事項,見其他登記事項,0890307,264.96999999999997,5,3,3,有,有,8500000,32079,坡道平面,0.0,0,含增建或未登記建物。;,RPTNMLQJQHOFFCH66CA
大溪區,房地(土地+建物),桃園市大溪區大鶯路60巷151~180號,22.14,,特定農業區,甲種建築用地,1080627,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850626,73.53,4,1,1,有,有,2500000,34000,,0.0,0,含增建或未登記建物。;,RPTNMLNKQHOFFCH09CA
龍潭區,房地(土地+建物),桃園市龍潭區民治三街121~150號,17.18,住,,,1080708,土地1建物1車位0,三層,四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0800208,35.57,1,1,1,有,無,1000000,28114,,0.0,0,,RPVNMLNKQHOFFCH66CA
大溪區,房地(土地+建物),桃園市大溪區埔頂路一段357巷151~180號,21.56,,特定農業區,甲種建築用地,1080625,土地1建物1車位0,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0960522,83.03,2,1,1,有,有,3250000,39142,,0.0,0,,RPUNMLOKQHOFFCH66CA
龍潭區,土地,中原段331~360地號,3054.94,,山坡地保育區,丁種建築用地,1080719,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,64688400,21175,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSOMLQKQHOFFCH76CA
龍潭區,土地,中原段331~360地號,3054.94,,山坡地保育區,丁種建築用地,1080719,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,64688400,21175,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTOMLQKQHOFFCH86CA
大溪區,房地(土地+建物),桃園市大溪區介壽路83巷31~60號,51.3,住,,,1080629,土地2建物1車位0,全,二層,透天厝,住家用,磚造,0620315,24.5,2,2,1,有,無,2200000,89796,,0.0,0,,RPUPMLTKQHOFFCH37CA
龍潭區,土地,聖亭段301~330地號,864.2,,鄉村區,交通用地,1080531,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9950000,11514,,0.0,0,,RPXOMLMLQHOFFCH96CA
龍潭區,房地(土地+建物),桃園市龍潭區民治七街31~60號,85.84,住,,,1080726,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1060619,211.3,4,2,3,有,無,10000000,47326,,0.0,0,,RPPOMLQLQHOFFCH56CA
楊梅區,土地,瑞上段211~240地號,46.48,,特定農業區,甲種建築用地,1080722,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,380000,8176,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPWNMLMJQHOFFDH66CA
楊梅區,房地(土地+建物),桃園市楊梅區甡甡路902巷151~180號,72.1,,山坡地保育區,丙種建築用地,1080217,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0871009,104.36,3,2,2,有,無,2500000,23956,,0.0,0,,RPXNMLMJQHOFFDH76CA
楊梅區,房地(土地+建物),桃園市楊梅區中山北路二段82巷1~30號,12.2,住,,,1080713,土地2建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821022,97.91,3,1,2,有,有,3500000,35747,,0.0,0,,RPPOMLMJQHOFFDH68CA
楊梅區,房地(土地+建物)+車位,桃園市楊梅區金山街368巷31~60號,21.31,住,,,1080722,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060802,152.14,3,2,2,有,有,6930000,47576,坡道平面,31.7,1200000,裝潢實品屋,RPQPMLMJQHOFFDH88CA
楊梅區,房地(土地+建物),桃園市楊梅區青山六街1巷1~30號,12.52,住,,,1080620,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841107,77.28,2,1,1,有,有,2000000,25880,,0.0,0,,RPSPMLMJQHOFFDH09CA
