鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
大安區,房地(土地+建物)+車位,臺北市大安區杭州南路二段61~90號,34.35,住,,,1080621,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1080430,152.1,3,2,2,有,無,45000000,295858,升降機械,0.0,2500000,,RPVOMLKMQHOFFFA88CA
大安區,車位,臺北市大安區和平東路一段188巷1~30號,0.03,住,,,1080725,土地0建物0車位1,一層,七層,其他,見其他登記事項,鋼筋混凝土造,0980810,16.14,0,0,0,有,有,1250000,,坡道機械,16.14,1250000,,RPQNMLTKQHOFFFA98CA
士林區,房地(土地+建物),臺北市士林區中山北路七段141巷14弄1~30號,8.44,住,,,1080617,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680803,25.270000000000003,3,2,2,有,無,4000000,158290,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUPMLQLQHOFFEA66CA
北投區,土地,軟橋段61~90地號,664.23,住,,,1080715,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,331535487,499128,,0.0,0,,RPPOMLTKQHOFFEA88CA
北投區,房地(土地+建物),臺北市北投區崗山路8巷1~30號,20.91,住,,,1080601,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1080415,82.38,2,2,1,有,無,11500000,139597,,0.0,0,,RPSOMLKLQHOFFEA38CA
大安區,房地(土地+建物),臺北市大安區忠孝東路四段181巷7弄1~30號,19.78,住,,,1080620,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0571026,89.71000000000001,3,2,2,有,有,19900000,221826,,0.0,0,,RPOOMLQJQHOFFFA48CA
大安區,土地,復興段二小段271~300地號,48.0,其他,,,1080723,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2555600,53242,,0.0,0,親友、員工或其他特殊關係間之交易。;包含公共設施保留地之交易。;,RPOPMLMJQHOFFFA18CA
北投區,房地(土地+建物),臺北市北投區中華街1~30號,53.25,住,,,1080712,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670130,138.99,3,2,2,有,無,10000000,71948,,0.0,0,,RPPPMLOKQHOFFEA48CA
北投區,房地(土地+建物)+車位,臺北市北投區中央北路四段451~480號,141.99,住,,,1080626,土地1建物1車位1,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0950927,301.44,4,2,4,有,有,37600000,124735,坡道平面,41.06,0,,RPTPMLOKQHOFFEA88CA
北投區,房地(土地+建物),臺北市北投區中央北路四段421~450號,35.17,住,,,1080722,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730214,134.02,3,1,2,有,無,5000000,37308,,0.0,0,親友、員工或其他特殊關係間之交易。;二親等間買賣,RPPNMLNKQHOFFEA18CA
