鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
楠梓區,房地(土地+建物),高雄市楠梓區右昌街143巷55弄1~30號,61.0,住,,,1080319,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0610102,76.88,2,2,2,有,無,3300000,42924,,0.0,0,,RPRNMLNJQHOFFEE68CA
左營區,房地(土地+建物)+車位,高雄市左營區重忠路61~90號,21.14,住,,,1080628,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070419,160.41,3,2,2,有,有,10700000,68889,坡道平面,33.83,1980000,,RPQNMLPJQHOFFEE78CA
楠梓區,房地(土地+建物),高雄市楠梓區常德路317巷6弄1~30號,19.96,住,,,1080625,土地1建物1車位0,十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820503,131.32999999999998,3,2,2,有,有,3300000,25128,,0.0,0,,RPRNMLPJQHOFFEE88CA
楠梓區,房地(土地+建物)+車位,高雄市楠梓區旗楠路126巷1~30號,11.4,商,,,1080711,土地1建物1車位1,八層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020529,138.75,3,2,2,有,無,7100000,51171,坡道平面,0.0,0,,RPXNMLQJQHOFFEE96CA
楠梓區,房地(土地+建物),高雄市楠梓區德賢路211~240號,14.86,住,,,1080725,土地1建物1車位0,六層，電梯樓梯間,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820224,90.41000000000001,3,2,2,有,有,3700000,40925,,0.0,0,,RPROMLQJQHOFFEE09CA
左營區,房地(土地+建物)+車位,高雄市左營區崇德路271~300號,18.87,商,,,1080518,土地2建物1車位1,八層,二十三層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1051110,296.35,4,2,2,有,有,16000000,53990,坡道平面,53.23,0,,RPRNMLMKQHOFFEE68CA
左營區,房地(土地+建物),高雄市左營區文萊路301~330號,5.98,商,,,1080628,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900626,82.84,2,2,1,有,有,4300000,51907,,0.0,0,,RPUNMLMKQHOFFEE98CA
左營區,房地(土地+建物),高雄市左營區文奇路181~210號,8.69,商,,,1080617,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871130,116.15,3,2,2,有,有,4600000,39604,,0.0,0,,RPRRMLTKQHOFFEE17CA
左營區,房地(土地+建物)+車位,高雄市左營區新莊一路331~360號,18.11,住,,,1080616,土地1建物1車位2,十一層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1071108,223.96,3,2,2,有,有,19380000,97273,坡道平面,59.68,3400000,,RPOOMLKLQHOFFEE38CA
楠梓區,房地(土地+建物)+車位,高雄市楠梓區土庫三路251巷1~30號,16.62,住,,,1080627,土地2建物1車位1,三層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010817,151.13,3,2,2,有,有,5950000,39370,坡道平面,29.02,0,,RPSNMLQKQHOFFEE56CA
