鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路二段181~210號,8.71,商,,,1030112,土地1建物1車位1,二十層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070525,129.15,2,2,1,有,有,8220000,72652,坡道平面,30.46,1050000,,RPUQMLQJQHOFFEF07CA
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路二段211~240號,10.34,商,,,1030607,土地1建物1車位1,二十三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070525,149.22,3,2,2,有,有,12140000,91698,坡道平面,30.46,1250000,,RPXQMLQJQHOFFEF37CA
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路二段211~240號,8.07,商,,,1030607,土地1建物1車位1,二十三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070525,122.69,2,2,1,有,有,8780000,81644,坡道平面,30.46,1250000,,RPPRMLQJQHOFFEF66CA
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路二段241~270號,10.34,商,,,1021117,土地1建物1車位1,十一層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070525,148.76999999999998,3,2,2,有,有,10270000,77508,坡道平面,30.46,1100000,,RPRRMLQJQHOFFEF86CA
汐止區,房地(土地+建物),新北市汐止區大同路二段271~300號,10.83,住,,,1080716,土地1建物1車位0,十一層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840126,122.92,3,2,2,有,有,12680000,103157,,0.0,0,,RPPRMLMKQHOFFDF88CA
汐止區,房地(土地+建物)+車位,新北市汐止區湖前街110巷97弄1~30號,46.82,,山坡地保育區,丙種建築用地,1080628,土地8建物1車位1,十層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881202,175.52,3,2,2,有,有,12000000,68368,坡道平面,36.95,0,,RPUNMLOKQHOFFDF56CA
汐止區,房地(土地+建物)+車位,新北市汐止區樟樹二路31~60號,16.35,住,,,1080602,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050810,128.1,3,2,1,有,有,14260000,112301,坡道平面,19.82,2100000,,RPPPNLRJQHOFFDF56CA
汐止區,房地(土地+建物),新北市汐止區福德一路211~240號,8.85,商,,,1080714,土地1建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840211,85.02,3,1,1,有,有,8580000,100917,,0.0,0,,RPWPMLMKQHOFFDF76CA
汐止區,房地(土地+建物)+車位,新北市汐止區湖前街110巷97弄1~30號,37.57,,山坡地保育區,丙種建築用地,1080714,土地8建物1車位1,一層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881202,148.36,2,2,1,有,有,10000000,67404,坡道平面,36.95,0,,RPSPMLMJQHOFFDF88CA
汐止區,房地(土地+建物)+車位,新北市汐止區福德二路19巷10弄1~30號,10.72,住,,,1080723,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840316,112.74,3,2,2,有,有,10850000,96239,坡道平面,0.0,0,含增建或未登記建物。;,RPSNMLQJQHOFFDF09CA
新店區,房地(土地+建物)+車位,新北市新店區北宜路一段91~120號,9.18,住,,,1080714,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900515,85.41,2,1,1,有,有,10750000,125863,坡道機械,12.94,0,含增建或未登記建物。;,RPSPMLMKRHOFFCF98CA
新店區,房地(土地+建物)+車位,新北市新店區中央五街1~30號,22.96,住,,,1080630,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021030,201.93,3,2,2,有,有,27600000,136681,坡道平面,32.99,0,含增建或未登記建物。;,RPRQMLQLQHOFFCF76CA
新店區,房地(土地+建物),新北市新店區中興路三段271~300號,24.37,住,,,1080702,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700815,74.99,2,1,1,有,無,7875000,105014,,0.0,0,,RPQRMLTKQHOFFCF96CA
深坑區,房地(土地+建物),新北市深坑區福音山莊15巷1~30號,309.0,,山坡地保育區,丙種建築用地,1080705,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0700102,216.2,4,2,2,有,有,10000000,46253,,0.0,0,,RPTOMLMJQHOFFCF78CA
新店區,房地(土地+建物),新北市新店區禾豐六路61~90號,192.59,住,,,1080718,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0860107,182.54,3,2,2,有,無,17800000,97513,,0.0,0,,RPQNMLPJQHOFFCF68CA
新店區,房地(土地+建物)+車位,新北市新店區新店路151~180號,13.37,住,,,1080725,土地1建物1車位1,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021224,141.68,2,2,2,有,有,17580000,124082,升降機械,0.0,0,,RPSNMLPJQHOFFCF88CA
新店區,土地,北宜段391~420地號,10.35,住,,,1080718,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4600000,444444,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPTOMLQJQHOFFCF56CA
新店區,土地,直潭段直潭小段1~30地號,200.0,其他,,,1080719,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15950000,79750,,0.0,0,,RPVNMLRJQHOFFCF76CA
五股區,房地(土地+建物)+車位,新北市五股區御史路31~60號,26.5,住,,,1080611,土地2建物1車位1,四層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070927,128.18,2,1,1,有,有,8700000,70146,坡道平面,31.24,1900000,,RPUUMLSLQHOFFBF57CA
五股區,房地(土地+建物)+車位,新北市五股區御史路31~60號,22.56,住,,,1080626,土地2建物1車位1,九層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070927,109.8,2,1,1,有,有,7380000,67710,坡道平面,27.39,1800000,,RPVUMLSLQHOFFBF67CA
五股區,車位,新北市五股區御史路31~60號,0.22,住,,,1080613,土地0建物0車位1,,,其他,,,,28.49,0,0,0,有,有,1200000,,坡道平面,28.49,1200000,,RPWUMLSLQHOFFBF77CA
新莊區,房地(土地+建物),新北市新莊區福壽街151~180號,30.75,住,,,1080702,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0751212,114.82,3,2,2,有,無,9280000,80822,,0.0,0,,RPPTMLLLQHOFFBF88CA
新莊區,房地(土地+建物),新北市新莊區民安西路410巷8弄1~30號,44.67,住,,,1080626,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700625,92.73,4,2,2,有,無,7800000,84115,,0.0,0,含增建或未登記建物。;後陽台增建,RPUTMLNKQHOFFBF86CA
林口區,房地(土地+建物)+車位,新北市林口區文化二路一段541~570號,28.05,商,,,1080707,土地1建物1車位1,十二層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961017,252.79999999999998,4,2,2,有,有,17680000,69937,坡道平面,41.78,0,,RPPQMLOKQHOFFBF78CA
林口區,房地(土地+建物),新北市林口區麗園二街3巷1~30號,22.55,住,,,1080621,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0730518,91.87,3,2,1,有,有,5300000,57690,,0.0,0,,RPTRMLOKQHOFFBF66CA
泰山區,房地(土地+建物)+車位,新北市泰山區仁德路61~90號,14.5,住,,,1080624,土地1建物1車位1,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0911213,101.68,2,2,1,有,有,9030000,88808,坡道平面,24.47,0,,RPTNMLPKQHOFFBF98CA
泰山區,房地(土地+建物),新北市泰山區民生路31巷1~30號,89.28,住,,,1080713,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0631003,107.11,2,3,2,有,無,15500000,144711,,0.0,0,含增建或未登記建物。;,RPVQMLPKQHOFFBF86CA
新莊區,房地(土地+建物),新北市新莊區萬壽路一段21巷1~30號,13.91,住,,,1080531,土地1建物1車位0,三層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690403,90.87,3,2,1,有,無,6800000,74832,,0.0,0,,RPRPMLQKQHOFFBF09CA
林口區,車位,新北市林口區仁愛路一段361~390號,0.0,,,,1080705,土地0建物0車位1,,,其他,,,,37.12,0,0,0,有,有,1750000,,坡道平面,37.12,1750000,,RPTOMLLLQHOFFBF78CA
林口區,房地(土地+建物)+車位,新北市林口區南勢一街17巷31~60號,26.48,住,,,1080626,土地1建物1車位1,一層,七層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1080606,118.57,0,0,1,有,有,8900000,81045,坡道平面,29.73,1700000,,RPVPMLLLQHOFFBF09CA
林口區,房地(土地+建物)+車位,新北市林口區南勢一街17巷31~60號,29.64,住,,,1080626,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080606,128.86,2,2,1,有,有,9000000,74820,坡道平面,28.62,1500000,,RPWPMLLLQHOFFBF56CA
林口區,房地(土地+建物)+車位,新北市林口區南勢一街17巷31~60號,29.64,住,,,1080626,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080606,130.0,2,2,1,有,有,10140000,85170,坡道平面,29.73,1600000,,RPPQMLLLQHOFFBF58CA
林口區,房地(土地+建物)+車位,新北市林口區南勢一街17巷31~60號,39.13,住,,,1080626,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080606,160.47,3,2,2,有,有,13080000,87808,坡道平面,29.73,1600000,,RPUQMLLLQHOFFBF09CA
林口區,房地(土地+建物)+車位,新北市林口區南勢一街17巷31~60號,37.94,住,,,1080626,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080606,157.10000000000002,3,2,2,有,有,11250000,74978,坡道平面,29.73,1700000,,RPPRMLLLQHOFFBF68CA
林口區,房地(土地+建物)+車位,新北市林口區南勢一街17巷31~60號,41.5,住,,,1080626,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080606,168.91000000000003,3,2,2,有,有,12200000,74723,坡道平面,29.73,1800000,,RPRRMLLLQHOFFBF88CA
林口區,房地(土地+建物)+車位,新北市林口區南勢一街17巷61~90號,28.85,住,,,1080725,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080606,125.6,2,2,1,有,有,8920000,75310,坡道平面,29.73,1700000,,RPSRMLLLQHOFFBF98CA
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段151~180號,16.49,商,,,1080716,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080107,165.47000000000003,3,2,2,有,有,14280000,94574,坡道平面,29.28,1400000,,RPRNMLQJQHOFFBF78CA
新莊區,房地(土地+建物),新北市新莊區頭興街121~150號,11.87,商,,,1080704,土地1建物1車位0,四層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010515,99.72999999999999,2,2,1,有,有,12800000,128347,,0.0,0,,RPTNMLRJQHOFFBF09CA
五股區,房地(土地+建物)+車位,新北市五股區登林路91~120號,20.89,住,,,1080616,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080215,141.38,3,2,2,有,無,14890000,120347,坡道平面,31.78,1700000,,RPPPMLPJQHOFFBF68CA
五股區,房地(土地+建物)+車位,新北市五股區登林路91~120號,20.41,住,,,1080623,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080215,138.56,3,2,2,有,無,14390000,118842,坡道平面,31.78,1700000,,RPQPMLPJQHOFFBF78CA
五股區,房地(土地+建物)+車位,新北市五股區御史路31~60號,30.57,住,,,1080705,土地2建物1車位1,三層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070927,139.38,3,2,2,有,有,9050000,64930,坡道平面,27.39,0,,RPTOMLPJQHOFFBF98CA
林口區,土地,南勢埔段頭湖小段301~330地號,316.5,其他,,,1080716,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13402200,42345,,0.0,0,,RPSQMLMJQHOFFBF78CA
新莊區,房地(土地+建物),新北市新莊區民安西路38巷1~30號,17.45,住,,,1080630,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700716,57.05,2,1,1,有,無,4600000,80631,,0.0,0,共有人數2人。含增建或未登記建物。,RPPNMLPJQHOFFBF48CA
土城區,房地(土地+建物),新北市土城區明德路一段93巷1~30號,15.85,商,,,1040923,土地1建物1車位0,六層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080603,118.93,3,2,2,有,無,14950000,125704,,0.0,0,,RPSNNLNLQHOFFAF78CA
板橋區,房地(土地+建物),新北市板橋區田單街2巷1~30號,32.5,住,,,1080627,土地1建物1車位0,一層，陽台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,73.52,4,2,1,有,無,7000000,95212,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUSMLKLQHOFFAF09CA
板橋區,房地(土地+建物),新北市板橋區中山路一段206巷31~60號,91.0,工,,,1080711,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0580912,125.88,2,2,2,有,無,26000000,206546,,0.0,0,含增建或未登記建物。;,RPQRMLLLQHOFFAF68CA
板橋區,房地(土地+建物)+車位,新北市板橋區大觀路一段38巷1~30號,21.58,住,,,1080707,土地1建物1車位1,二層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070702,177.33999999999997,3,2,2,有,有,16800000,94733,坡道平面,38.68,0,,RPUNMLQKQHOFFAF09CA
土城區,土地,頂福段721~750地號,18.56,其他,,,1080708,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3637760,196000,,0.0,0,本件為協議價購案件,RPOPMLSJQHOFFAF78CA
板橋區,房地(土地+建物),新北市板橋區裕民街56巷1~30號,24.25,住,,,1080708,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,92.51,3,2,1,有,無,3700000,39996,,0.0,0,親友、員工或其他特殊關係間之交易。;祖孫間買賣,RPSOMLQJQHOFFAF88CA
板橋區,房地(土地+建物),新北市板橋區大智街71巷31~60號,34.25,住,,,1080225,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640729,85.07,3,2,1,有,無,8750000,102856,,0.0,0,含增建或未登記建物,RPVOMLPJQHOFFAF09CA
板橋區,房地(土地+建物),新北市板橋區金華街61~90號,23.25,住,,,1080705,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670627,67.26,2,2,2,有,無,7100000,105561,,0.0,0,,RPSPMLPJQHOFFAF88CA
土城區,房地(土地+建物),新北市土城區中州路30巷1~30號,9.36,住,,,1080710,土地5建物1車位0,五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020503,59.190000000000005,1,1,1,有,有,5100000,86163,,0.0,0,,RPPNMLPJQHOFFAF38CA
板橋區,房地(土地+建物)+車位,新北市板橋區華東街271~300號,10.39,住,,,1080506,土地2建物1車位1,十八層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050205,124.36000000000001,2,2,1,有,無,17700000,161323,坡道平面,26.73,1950000,本案尚未成立管理委員會.,RPPPMLMJQHOFFAF28CA
